id,organism,host,country,isolate,isolation_source,molecule_type,dbxref,topology,taxonomy,collection_date,reported_date,n_count
MT370910.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08133/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-13,06-AUG-2020,1091
MT370909.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08489/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370908.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08435/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370907.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08416/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370906.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08120/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370905.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08150/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370904.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY1-PV08001/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-02-29,06-AUG-2020,0
MT370903.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08136/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370902.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08449/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370901.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08444/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370900.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08410/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,06-AUG-2020,1050
MT370899.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08455/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370898.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08487/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370897.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08452/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370896.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08459/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370895.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08415/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,06-AUG-2020,0
MT370894.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08496/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370893.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08419/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,1372
MT370892.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08122/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-11,06-AUG-2020,0
MT370891.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08402/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,06-AUG-2020,0
MT370890.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08477/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370889.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08472/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-13,06-AUG-2020,0
MT370888.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08498/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370887.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08476/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,982
MT370886.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08450/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370885.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08461/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370884.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08417/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,06-AUG-2020,1266
MT370883.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08425/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370882.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08481/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370881.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08138/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-13,06-AUG-2020,0
MT370880.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08428/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-19,06-AUG-2020,0
MT370879.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08405/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,383
MT370878.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08413/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,06-AUG-2020,56
MT370877.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08474/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370876.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08448/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370875.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08473/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370874.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08149/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-15,06-AUG-2020,0
MT370873.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08404/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,06-AUG-2020,944
MT370872.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08491/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370871.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08446/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370870.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08469/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370869.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08462/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370868.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08485/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370867.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08400/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-15,06-AUG-2020,355
MT370866.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08135/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370865.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08453/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370864.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08495/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370863.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08471/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370862.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08412/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-16,06-AUG-2020,0
MT370861.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08109/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370860.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08434/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370859.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08403/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370858.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08468/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370857.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08148/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-14,06-AUG-2020,0
MT370856.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08445/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-18,06-AUG-2020,0
MT370855.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08420/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-19,06-AUG-2020,1068
MT370854.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08127/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-14,06-AUG-2020,0
MT370853.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08494/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,0
MT370852.1,Severe acute respiratory syndrome coronavirus 2,Homo sapiens,USA: NY,SARS-CoV-2/human/USA/NY-PV08137/2020,nasal swab,genomic RNA,taxon:2697049,linear,Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus,2020-03-17,06-AUG-2020,106
